coefficient_name,value,constrain,purpose,mode,auto_suff,model_counts,target_counts,difference,percent_diff,coef_change,new_value,converged
coef_hhsize4p_sr3p_disc,0.578130166,F,,,,,,,,,0.578130166,True
coef_age1624_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_age1624_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_age1624_nmot_atwork,0.0,F,,,,,,,,,0.0,True
coef_age1624_tran_atwork,0.0,F,,,,,,,,,0.0,True
coef_age4155_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_age4155_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_age4155_nmot_atwork,0.0,F,,,,,,,,,0.0,True
coef_age4155_tran_atwork,-1.166,F,,,,,,,,,-1.166,True
coef_age5664_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_age5664_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_age5664_nmot_atwork,0.0,F,,,,,,,,,0.0,True
coef_age5664_tran_atwork,-1.263,F,,,,,,,,,-1.263,True
coef_age65pl_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_age65pl_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_age65pl_nmot_atwork,0.0,F,,,,,,,,,0.0,True
coef_age65pl_tran_atwork,0.0,F,,,,,,,,,0.0,True
coef_sr_da_atwork,-0.824,F,,,,,,,,,-0.824,True
coef_sr_sr_atwork,2.435,F,,,,,,,,,2.435,True
coef_female_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_female_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_female_tran_atwork,0.0,F,,,,,,,,,0.0,True
coef_female_nmot_atwork,0.0,F,,,,,,,,,0.0,True
coef_oMix_nmot_atwork,0.214,F,,,,,,,,,0.214,True
coef_oMix_wTran_atwork,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_nmot_atwork,0.0,F,,,,,,,,,0.0,True
coef_oIntDen_wTran_atwork,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_nmot_atwork,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_wTran_atwork,0.0,F,,,,,,,,,0.0,True
coef_dEmpDen_dTran_atwork,0.0,F,,,,,,,,,0.0,True
coef_hhsize2_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_hhsize2_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_hhsize3_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_hhsize3_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_hhsize4p_sr2_atwork,0.0,F,,,,,,,,,0.0,True
coef_hhsize4p_sr3p_atwork,0.0,F,,,,,,,,,0.0,True
coef_calib_civtebikeownership_BIKE_school,1.0,F,,,,,,,,,1.0,True
coef_calib_civtebikeownership_BIKE_atwork,1.0,F,,,,,,,,,1.0,True
