coefficient_name,value,constrain
coef_calib_autosufficienthhin_WALK_univ,1.4141367971905798,F
coef_calib_autosufficienthhin_BIKE_univ,-8.497270116136658,F
coef_calib_autosufficienthhin_WALK_LOC_univ,-3.3923096204530965,F
coef_calib_autosufficienthhin_WALK_PRM_univ,-2.290075390766123,F
coef_calib_autosufficienthhin_WALK_MIX_univ,-3.887712223220279,F
coef_calib_autosufficienthhin_PNR_LOC_univ,-7.528265278878241,F
coef_calib_autosufficienthhin_PNR_PRM_univ,-5.972376142241579,F
coef_calib_autosufficienthhin_PNR_MIX_univ,-7.528265278878241,F
coef_calib_autosufficienthhin_KNR_LOC_univ,-8.0489,F
coef_calib_autosufficienthhin_KNR_PRM_univ,-6.171180594121664,F
coef_calib_autosufficienthhin_KNR_MIX_univ,-8.0489,F
coef_calib_autosufficienthhin_TNC_LOC_univ,-8.2328,F
coef_calib_autosufficienthhin_TNC_PRM_univ,-8.2328,F
coef_calib_autosufficienthhin_TNC_MIX_univ,-8.2328,F
coef_calib_autosufficienthhin_TAXI_univ,-4.6511,F
coef_calib_autosufficienthhin_TNC_SINGLE_univ,-8.6511,F
coef_calib_autosufficienthhin_TNC_SHARED_univ,-6.6511,F
#coef_calib_zeroautohhindivtou_DRIVEALONE_school,-0.9723,F
coef_calib_zeroautohhindivtou_SHARED2_school,-137.0,F
coef_calib_zeroautohhindivtou_SHARED3_school,38.3055156341799,F
coef_calib_zeroautohhindivtou_WALK_school,-11.797727722235777,F
coef_calib_zeroautohhindivtou_BIKE_school,11.738543413217242,F
coef_calib_zeroautohhindivtou_WALK_LOC_school,16.5695551285637,F
coef_calib_zeroautohhindivtou_WALK_PRM_school,6.441988949802024,F
coef_calib_zeroautohhindivtou_WALK_MIX_school,6.441988949802024,F
coef_calib_zeroautohhindivtou_PNR_LOC_school,-999.0,F
coef_calib_zeroautohhindivtou_PNR_PRM_school,-999.0,F
