MAZ,TAZ
2508,2574
2509,747
2510,2007
2511,4496
2512,3783
2513,2112
2514,3849
2515,2367
2516,1751
2517,3579
2518,525
2519,3055
2520,2590
2521,2570
2522,4070
2523,3576
2524,1600
2525,1857
2526,1572
2527,3474
2528,2375
2529,941
2530,3420
2531,29
2532,2724
2533,3705
2534,240
2535,1009
2536,4563
2537,2259
2538,2056
2539,1395
2540,271
2541,4685
2542,2689
2543,758
2544,4646
2545,793
2546,4243
2547,1926
2548,765
2549,35
2550,2065
2551,1486
2552,2395
2553,2345
2554,2177
2555,911
2556,652
2557,2538
2558,823
2559,280
2560,2641
2561,3350
2562,2535
2563,2367
2564,2652
2565,2169
2566,32
2567,4322
2568,625
2569,1743
2570,720
2571,2214
2572,1310
2573,1361
2574,46
2575,340
2576,2569
2577,963
2578,1446
2579,614
2580,4161
2581,388
2582,1528
2583,2284
2584,444
2585,4206
2586,4141
2587,1551
2588,1571
