distbin,District,purpose,value
50,5: East Suburban,University,40.0
50,6: North County West,University,59.0
50,7: North County East,University,46.0
50,8: East County,University,14.0
99999,1: Downtown,University,27.0
99999,2: Central,University,856.0
99999,3: North City,University,1005.0
99999,4: South Suburban,University,3156.0
99999,5: East Suburban,University,438.0
99999,6: North County West,University,745.0
99999,7: North County East,University,554.0
99999,8: East County,University,174.0
1,1: Downtown,School,118.0
1,2: Central,School,3311.0
1,3: North City,School,11312.0
1,4: South Suburban,School,913.0
1,5: East Suburban,School,5762.0
1,6: North County West,School,4898.0
1,7: North County East,School,6328.0
1,8: East County,School,1477.0
2,1: Downtown,School,99.0
2,2: Central,School,1441.0
2,3: North City,School,2708.0
2,4: South Suburban,School,439.0
2,5: East Suburban,School,1810.0
2,6: North County West,School,2177.0
2,7: North County East,School,4076.0
2,8: East County,School,133.0
3,1: Downtown,School,113.0
3,2: Central,School,1787.0
3,3: North City,School,2846.0
3,4: South Suburban,School,216.0
3,5: East Suburban,School,2207.0
3,6: North County West,School,1761.0
3,7: North County East,School,4895.0
3,8: East County,School,163.0
4,1: Downtown,School,119.0
4,2: Central,School,2394.0
4,3: North City,School,3219.0
4,4: South Suburban,School,212.0
4,5: East Suburban,School,2389.0
4,6: North County West,School,1453.0
4,7: North County East,School,4882.0
4,8: East County,School,280.0
5,1: Downtown,School,180.0
5,2: Central,School,2566.0
5,3: North City,School,3416.0
5,4: South Suburban,School,232.0
5,5: East Suburban,School,2301.0
5,6: North County West,School,1499.0
5,7: North County East,School,4506.0
5,8: East County,School,558.0
6,1: Downtown,School,231.0
6,2: Central,School,2543.0
6,3: North City,School,3680.0
6,4: South Suburban,School,288.0
6,5: East Suburban,School,2474.0
6,6: North County West,School,2056.0
6,7: North County East,School,5066.0
6,8: East County,School,306.0
7,1: Downtown,School,245.0
7,2: Central,School,3105.0
7,3: North City,School,4430.0
7,4: South Suburban,School,319.0
7,5: East Suburban,School,2864.0
7,6: North County West,School,2816.0
7,7: North County East,School,3883.0
7,8: East County,School,264.0
8,1: Downtown,School,275.0
8,2: Central,School,2856.0
8,3: North City,School,4603.0
8,4: South Suburban,School,437.0
8,5: East Suburban,School,2780.0
8,6: North County West,School,1949.0
8,7: North County East,School,3690.0
8,8: East County,School,869.0
9,1: Downtown,School,279.0
9,2: Central,School,3406.0
9,3: North City,School,4965.0
9,4: South Suburban,School,410.0
9,5: East Suburban,School,3237.0
9,6: North County West,School,1715.0
9,7: North County East,School,4754.0
9,8: East County,School,347.0
10,1: Downtown,School,222.0
10,2: Central,School,3778.0
10,3: North City,School,5295.0
10,4: South Suburban,School,481.0
10,5: East Suburban,School,3095.0
10,6: North County West,School,2063.0
10,7: North County East,School,3490.0
10,8: East County,School,431.0
11,1: Downtown,School,286.0
