TAZ,MGRA
1973,12207
1974,13075
1975,4494
1976,12198
1977,4453
1978,12195
1979,12353
1980,11244
1981,4465
1982,12387
1983,12189
1984,12404
1985,4457
1986,5049
1987,4532
1988,20649
1989,6330
1990,11243
1991,12430
1992,12408
1993,12401
1994,4524
1995,4809
1996,4618
1997,12420
1998,5038
1999,4520
2000,12213
2001,4466
2002,4397
2003,12423
2004,12414
2005,5041
2006,12215
2007,5024
2008,12419
2009,4502
2010,4459
2011,12232
2012,12231
2013,5035
2014,12432
2015,12255
2016,5053
2017,12254
2018,4534
2019,4800
2020,12272
2021,12265
2022,12429
2023,12239
2024,12270
2025,12257
2026,12258
2027,4823
2028,4543
2029,12263
2030,5015
2031,12279
2032,12244
2033,5013
2034,4306
2035,11309
2036,4522
2037,20670
2038,12252
2039,4814
2040,12223
2041,12283
2042,4861
2043,5076
2044,5058
2045,5064
2046,4547
2047,12293
2048,5067
2049,5044
2050,12226
2051,4620
2052,4817
2053,12302
2054,4513
2055,12296
2056,4845
2057,12286
2058,4509
2059,4826
2060,12299
2061,4508
2062,4764
2063,5086
2064,12287
2065,6337
2066,6339
2067,5072
2068,5088
2069,4857
2070,5092
2071,4866
2072,6338
2073,12288
2074,5128
2075,5130
2076,5111
2077,11647
2078,4840
2079,4868
2080,4873
2081,12316
2082,5096
2083,4871
2084,4645
2085,6346
2086,4771
2087,4516
2088,5121
2089,20650
2090,11650
2091,4634
2092,12312
2093,22116
2094,5098
2095,5105
2096,5116
2097,5117
2098,5135
2099,4997
2100,5004
2101,22140
2102,11615
2103,11654
2104,11656
2105,11657
2106,6310
2107,4988
2108,6347
2109,11316
2110,5136
2111,4770
2112,12314
2113,4993
2114,5127
2115,5119
2116,5106
2117,11626
2118,11620
2119,4805
2120,4775
2121,4969
2122,5010
2123,4984
2124,11245
2125,6317
2126,11664
2127,4976
2128,6318
2129,4776
2130,4647
2131,5178
2132,5158
2133,11622
2134,4636
2135,5140
2136,11643
2137,4779
2138,11631
2139,11296
2140,11627
2142,4781
2143,4926
2144,5161
2145,11640
2146,11251
2147,6320
2148,5142
2149,4656
2150,4925
2151,4782
2152,4783
2153,4789
2154,11238
2155,4791
2156,4787
2157,4879
2158,11239
2159,6280
2160,4652
2161,4942
2162,4978
2163,4308
2164,5148
2165,21468
2166,4792
2167,4643
2168,4933
2169,11254
2170,4796
2171,4980
2172,4795
2173,4682
2174,4939
2175,4936
2176,5163
2177,5149
2178,11644
2179,4638
2180,4937
2181,5165
2182,5166
2183,4946
2184,11261
2185,4311
2186,4941
2187,11315
2188,4797
2189,4943
2190,4944
2191,4945
2192,11263
2193,6273
2194,4886
2195,4884
2196,4885
2197,4947
2198,4904
2199,4170
2200,6281
2201,4642
2202,4661
2203,10871
2205,11108
2206,6276
2207,4905
2208,4891
2209,4897
2210,4956
2211,4901
2212,4903
2213,4663
2214,11265
2215,4172
2216,4951
2217,22143
2218,4177
2219,11267
2220,4296
2221,22322
2222,4955
2223,22294
2224,4917
2225,4919
2226,10898
2227,4913
2228,4185
2229,10896
2230,11105
2231,4920
2232,22108
2233,6270
2234,4180
2235,10862
2236,4679
2237,10873
2238,10882
2239,4173
2240,4921
2241,4924
2242,4675
2243,11278
2244,11283
2245,11275
2246,4709
2247,4176
2248,4175
2249,4181
2250,4678
2251,11111
2252,4680
2253,4710
2254,4694
2256,11099
2257,4696
2258,4690
2259,10879
2260,6305
2261,10888
2262,10864
2263,11119
2264,4714
2265,4704
2266,5182
2267,10870
2268,4353
2269,5181
2270,4684
2271,4331
2272,4706
2273,11112
2274,20673
2275,4693
2276,11286
2277,11129
2278,11130
2279,6284
2280,4686
2281,11287
2282,5201
2283,5194
2284,5186
2285,4702
2286,4717
2287,10899
2288,11131
2289,4688
2290,11135
2291,4317
2292,4718
2293,11100
2294,11124
2295,10868
2296,4350
2297,10909
2298,11289
2299,11280
2300,5185
2301,10884
2302,4724
2303,5203
2304,20663
2305,4341
2306,11257
2307,22105
2308,4726
2309,10902
2310,11122
2311,5192
2312,21980
2313,10858
2314,10857
2315,4219
2316,11139
2317,10906
2318,11293
2319,4355
2320,11137
2321,11291
2322,10892
2323,11147
2324,10891
2325,10853
2326,21897
2327,11145
2328,4729
2329,5200
2330,11140
2331,4321
2332,11141
2333,10914
2334,11155
2335,11133
2336,11149
2337,11068
2338,11153
2339,11228
2340,11151
2341,4196
2342,4742
2343,10915
2344,10859
2345,22301
2346,22307
2347,11073
2348,22317
2349,10848
2350,11156
2351,11157
2352,11231
2353,11221
2354,4339
2355,10166
2356,4221
2357,4755
2358,10201
2359,11222
2360,11071
2361,11069
2362,11125
2363,6352
2364,4745
2365,10943
2366,10949
2367,10951
2368,11089
2369,11172
2370,11230
2371,11053
2372,22185
2373,10945
2374,4074
2376,11066
2377,10846
2378,11126
2379,4223
2380,4075
2381,10953
2382,6272
2383,4151
2384,10168
2385,10917
2386,4146
2387,4199
2388,4091
2389,4090
2390,22306
2391,10921
2392,4093
2393,4082
2394,10836
2395,4156
2396,10925
2397,4064
2398,11232
2399,10955
2400,10946
2401,4095
2402,11233
2403,20725
2404,10941
2405,11058
2406,5434
2407,5278
2408,5587
2409,10849
2410,22314
2411,5460
2412,4134
2413,10162
2414,11223
2415,11095
2416,4099
2417,22313
2418,4065
2419,11178
2420,22248
2421,4066
2422,4127
2423,4085
2424,4130
2425,5299
2426,11184
2427,4067
2428,11224
2429,10840
2430,4068
2431,10828
2432,11209
2433,10959
2434,10172
2435,4129
2436,4069
2437,10934
2438,4167
2439,10968
2440,4233
2441,10960
2442,10174
2443,10831
2444,22111
2445,6371
2446,6357
2447,10213
2448,11004
2449,10966
2450,10207
2451,10935
2452,10965
2453,10937
2454,22316
2455,5246
2456,6292
2457,11236
2458,4006
2459,11235
2460,5637
2461,22237
2462,22244
2463,5588
2464,11217
2465,4009
2466,5436
2467,4142
2468,10826
2469,22250
2470,11038
2471,5589
2472,22112
2473,5640
2474,11037
2475,5593
2476,5636
2477,22199
2478,6351
2479,5630
2480,22200
2481,4001
2482,5468
2483,22252
2484,22268
2485,5597
2486,5592
2487,5298
2488,22274
2489,10791
2490,10970
2491,10817
2492,10971
2493,10975
2494,11019
2495,4231
2496,11021
2497,5641
2498,11022
2499,11159
2500,11011
2501,11010
2502,10976
2503,5325
2504,5319
2505,11082
2506,20735
2507,22272
2508,4012
2509,4003
2510,5642
2511,22178
2512,5599
2513,4237
2514,11215
2515,22241
2516,10825
2517,10984
2518,11218
2519,10819
2520,22271
2521,4022
2522,11063
2523,4004
2524,5264
